"Species","Agriculture","Forestry","Fisheries","Health","ispathogen"
"Daphnia longispina",NA,NA,NA,NA,"N"
"Aronia x prunifolia",NA,NA,NA,"Positive","N"
"Aecidium glycines",NA,NA,NA,NA,"Y"
"Sporisorium sacchari","Negative",NA,NA,NA,"Y"
"Sporisorium pulverulentum",NA,NA,NA,NA,"Y"
"Gerwasia mayorii",NA,NA,NA,"Negative","Y"
"Polyandrocarpa zorritensis",NA,NA,"Negative",NA,"N"
"Caulerpa racemosa var. cylindracea",NA,NA,NA,NA,"N"
"Hemigrapsus sanguineus",NA,NA,NA,NA,"N"
"Teia anartoides","Negative","Negative",NA,"Negative","N"
"Gracilaria tikvahiae",NA,NA,"Negative","Negative","N"
"Daphnia lumholtzi",NA,NA,NA,NA,"N"
"Paspalum densum",NA,NA,NA,NA,"Y"
"Ischaemum timorense",NA,NA,NA,NA,"N"
"Epitrix tuberis",NA,NA,NA,NA,"N"
"Branta hutchinsii","Negative",NA,NA,NA,"N"
"Corbicula fluminalis","Negative",NA,NA,"Negative","N"
"Philornis downsi","Negative",NA,NA,NA,"N"
"Ulva ohnoi",NA,NA,NA,NA,"N"
"Indian cassava mosaic virus","exclude","exclude","exclude","exclude","exclude"
"Idioscopus clypealis",NA,NA,NA,NA,"Y"
"Idioscopus nitidulus",NA,"None","None, None","None","Y"
"Ficus lyrata",NA,NA,NA,NA,"N"
"Hiptage benghalensis",NA,"Negative","None, None","None","N"
"Ixora finlaysoniana",NA,NA,NA,NA,"N"
"myxomatosis",NA,NA,NA,NA,"N"
"Mycoplasma agalactiae","exclude","exclude","exclude","exclude","exclude"
"Mycoplasma synoviae","exclude","exclude","exclude","exclude","exclude"
"Mycoplasma capricolum subsp. capripneumoniae","exclude","exclude","exclude","exclude","exclude"
"Molothrus ater",NA,NA,NA,NA,"N"
"infection with Marteilia refringens",NA,NA,NA,NA,"N"
"Ixodes ricinus",NA,NA,NA,NA,"N"
"Atriplex hortensis",NA,NA,NA,NA,"N"
"Celtodoryx ciocalyptoides",NA,NA,NA,NA,"N"
"abalone viral ganglioneuritis",NA,NA,NA,NA,"N"
"Haliotid herpesvirus 1","exclude","exclude","exclude","exclude","exclude"
"Phyllactinia guttata",NA,NA,NA,NA,"Y"
"Prays citri",NA,NA,NA,NA,"N"
"Pear blister canker viroid","exclude","exclude","exclude","exclude","exclude"
"Phakopsora ampelopsidis",NA,NA,NA,NA,"Y"
"Phyllachora maydis","Negative",NA,NA,NA,"Y"
"Lampropeltis californiae",NA,NA,NA,NA,"N"
"Cymbopogon nardus","Negative",NA,NA,NA,"N"
"Odontonema callistachyum",NA,NA,NA,NA,"N"
"Puccinia horiana",NA,NA,NA,NA,"Y"
"Polistes chinensis antennalis",NA,NA,NA,"Negative","N"
"Puccinia pittieriana","Negative",NA,NA,NA,"Y"
"Paratachardina pseudolobata",NA,NA,NA,NA,"Y"
"Rhodomyrtus tomentosa","Negative",NA,NA,NA,"N"
"Ciborinia camelliae",NA,NA,NA,NA,"Y"
"Brucella abortus","exclude","exclude","exclude","exclude","exclude"
"Brucella suis","exclude","exclude","exclude","exclude","exclude"
"Bubulcus ibis",NA,NA,NA,NA,"N"
"Astacus astacus",NA,NA,NA,NA,"N"
"Astacus leptodactylus",NA,NA,NA,NA,"N"
"Bos bison",NA,"Negative",NA,NA,"N"
"Xenohaliotis californiensis","exclude","exclude","exclude","exclude","exclude"
"Anser indicus","Negative",NA,NA,NA,"N"
"Callisia repens","Negative",NA,NA,NA,"N"
"Ceratitis cosyra",NA,NA,NA,NA,"N"
"Neoceratitis cyanescens",NA,"None","None, None","None","N"
"Cananga odorata",NA,NA,NA,NA,"N"
"Ditylenchus africanus","exclude","exclude","exclude","exclude","exclude"
"Trypanosoma equiperdum","exclude","exclude","exclude","exclude","exclude"
"transmissible gastroenteritis virus","exclude","exclude","exclude","exclude","exclude"
"Varanus indicus",NA,NA,NA,NA,"N"
"Salvelinus namaycush",NA,NA,"Negative",NA,"N"
"Styela plicata",NA,NA,"Negative, Negative",NA,"N"
"Sheeppox virus","exclude","exclude","exclude","exclude","exclude"
"Rhipicephalus evertsi evertsi",NA,NA,NA,NA,"N"
"Rhodeus ocellatus ocellatus",NA,NA,"Negative","Negative","N"
"Cylindropuntia imbricata",NA,NA,NA,NA,"N"
"Cylindropuntia rosea","Negative","Negative",NA,"Negative","N"
"Austrocylindropuntia subulata","Negative",NA,NA,"Negative","N"
"Pelophylax esculentus",NA,NA,NA,NA,"N"
"Agdestis clematidea",NA,NA,NA,"Positive","N"
"Alternanthera halimifolia",NA,NA,NA,NA,"N"
"Aristida ternipes",NA,NA,NA,NA,"N"
"Bontia daphnoides",NA,NA,NA,NA,"Y"
"Malva pusilla","Negative","Negative",NA,NA,"N"
"Martynia annua","Negative",NA,NA,"Positive","N"
"Monilia polystroma",NA,"Negative",NA,NA,"Y"
"Pennisetum macrourum","Negative","None","None, None","None","N"
"Pelargonium odoratissimum",NA,NA,NA,NA,"N"
"Mimosa casta",NA,NA,NA,NA,"N"
"Urena sinuata",NA,NA,NA,NA,"N"
"Malvaviscus arboreus",NA,NA,NA,NA,"N"
"Mammea americana",NA,NA,NA,NA,"N"
"Arceuthobium abietinum","Negative","Negative","None, None","None","N"
"Arceuthobium campylopodum","Negative","Negative","None, None","None","N"
"Arceuthobium douglasii","Negative","Negative","None, None","None","N"
"Arceuthobium laricis","Negative","Negative","None, None","None","Y"
"Arceuthobium minutissimum","Negative","Negative","None, None","None","Y"
"Arceuthobium oxycedri","Negative","None","None, None","None","Y"
"Arceuthobium pusillum","Negative","Negative","None, None","None","Y"
"Arceuthobium tsugense","Negative","Negative","None, None","None","N"
"Arceuthobium vaginatum","Negative","Negative","None, None","None","Y"
"Olivea tectonae",NA,NA,NA,"Negative","Y"
"Lonicera confusa",NA,NA,NA,NA,"N"
"Acarapis woodi","Negative",NA,NA,NA,"N"
"Bactrocera carambolae",NA,NA,NA,NA,"N"
"Bactrocera correcta",NA,NA,NA,NA,"Y"
"Bactrocera facialis",NA,NA,NA,NA,"N"
"Bactrocera frauenfeldi",NA,NA,NA,NA,"N"
"Bactrocera kirki",NA,NA,NA,NA,"N"
"Bactrocera minax",NA,NA,NA,NA,"N"
"Bactrocera neohumeralis",NA,NA,NA,NA,"N"
"Bactrocera passiflorae",NA,NA,NA,NA,"N"
"Bactrocera psidii",NA,NA,NA,NA,"N"
"Bactrocera umbrosa",NA,NA,NA,NA,"N"
"Bactrocera xanthodes",NA,NA,NA,NA,"N"
"Gyrodactylus salaris",NA,NA,NA,NA,"N"
"Adiantum hispidulum",NA,NA,NA,NA,"N"
"Adiantum raddianum",NA,NA,NA,NA,"Y"
"Epinephelus striatus",NA,NA,NA,NA,"N"
"Aphelenchoides arachidis","exclude","exclude","exclude","exclude","exclude"
"epizootic haemorrhagic disease",NA,NA,NA,NA,"N"
"Borreria latifolia",NA,NA,NA,NA,"N"
"Channa punctata",NA,NA,NA,NA,"N"
"Goatpox virus","exclude","exclude","exclude","exclude","exclude"
"haemorrhagic septicaemia",NA,NA,NA,NA,"N"
"Erinaceus europaeus",NA,NA,NA,NA,"N"
"Ehrlichia ruminantium","exclude","exclude","exclude","exclude","exclude"
"Coxiella burnetii","exclude","exclude","exclude","exclude","exclude"
"duck hepatitis A virus","exclude","exclude","exclude","exclude","exclude"
"Cherax cainii",NA,NA,"Positive, Positive",NA,"N"
"Spiroplasma kunkelii","exclude","exclude","exclude","exclude","exclude"
"Trachelospermum jasminoides",NA,NA,NA,NA,"N"
"Urtica urens",NA,NA,NA,NA,"N"
"Thecaphora solani","Negative",NA,NA,NA,"Y"
"Themeda quadrivalvis","Negative",NA,NA,NA,"N"
"Xenopus laevis",NA,NA,NA,NA,"N"
"Synchytrium endobioticum",NA,NA,NA,NA,"Y"
"Synedrella nodiflora",NA,NA,NA,NA,"N"
"Phalaris minor",NA,NA,NA,NA,"N"
"Cacoecimorpha pronubana",NA,NA,NA,NA,"N"
"Aculops fuchsiae",NA,NA,NA,NA,"N"
"Verbena bonariensis",NA,NA,NA,NA,"N"
"Didemnum vexillum",NA,NA,"Negative",NA,"N"
"Culicidae",NA,NA,NA,NA,"Y"
"Nicotiana plumbaginifolia","Negative",NA,NA,"Positive","N"
"Hura crepitans",NA,NA,NA,NA,"N"
"Helianthus ciliaris","Negative","None","None, None","None","N"
"Philornis downsi infestation",NA,NA,NA,NA,"N"
"Mytilicola orientalis infestation",NA,NA,"Negative, Negative",NA,"N"
"Apiognomonia erythrostoma","Negative",NA,NA,NA,"Y"
"Eucalyptus sideroxylon",NA,"None","None, None","None","N"
"Rhopilema nomadica","Negative",NA,"Negative","Negative","N"
"Clea helena",NA,NA,NA,NA,"N"
"Dryocosmus kuriphilus",NA,NA,NA,NA,"N"
"Dryocoetes confusus",NA,NA,NA,NA,"Y"
"Euglandina rosea",NA,"None","None, None","None","N"
"Discula destructiva",NA,"None","None, None","None","Y"
"Gymnosporangium yamadae","Negative",NA,NA,NA,"Y"
"Gymnocoronis spilanthoides",NA,NA,"Negative",NA,"N"
"Kalanchoe blossfeldiana",NA,NA,NA,"Negative","N"
"Gypsophila paniculata",NA,NA,NA,"Negative","N"
"Gypsonoma aceriana",NA,NA,NA,NA,"N"
"Hylobitelus xiaoi",NA,"Negative, Negative","None, None, None, None","None, None","N"
"Pasteurella multocida","exclude","exclude","exclude","exclude","exclude"
"Mylopharyngodon piceus",NA,NA,"Positive, Positive",NA,"N"
"Myocastor coypus","Negative",NA,NA,NA,"N"
"Osmerus eperlanus",NA,NA,NA,NA,"N"
"Macaca fascicularis","Negative",NA,NA,"Negative","N"
"necrotizing hepatopancreatitis",NA,NA,NA,NA,"N"
"infectious bursal disease virus","exclude","exclude","exclude","exclude","exclude"
"influenza A virus","exclude","exclude","exclude","exclude","exclude"
"Nesticella mogera",NA,NA,NA,NA,"N"
"Peromyscus fraterculus",NA,NA,NA,"Negative","N"
"Indigofera trita subsp. scabra",NA,NA,NA,NA,"N"
"Crypsis vaginiflora",NA,NA,NA,NA,"N"
"Fimbristylis cymosa",NA,NA,NA,NA,"Y"
"Pereskia aculeata",NA,NA,NA,NA,"N"
"Porotermes adamsoni",NA,NA,NA,NA,"Y"
"Pepino mosaic virus","exclude","exclude","exclude","exclude","exclude"
"Raphanus sativus",NA,NA,NA,NA,"N"
"Toxicodendron succedaneum",NA,NA,NA,"Negative","N"
"Quadrastichus erythrinae",NA,NA,NA,NA,"N"
"Scutellonema bradys","exclude","exclude","exclude","exclude","exclude"
