"","Kingdom","Species","in3_0","Kingdom_new","Species_new","Source","Description","Description2","CBD_subcategory","CBD_pathway","CBD_Mechanism","Direct_or_Indirect","Primary_or_Secondary","CountrySpecific","RemovePathways","Checkedby_00","Checkedby","Double_checkedby","Notes"
"1","Animalia","Acridotheres tristis","yes","Animalia","Acridotheres tristis","CABI","Acclimatization societies","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"2","Animalia","Alopochen aegyptiaca","yes","Animalia","Alopochen aegyptiaca","CABI","Acclimatization societies (pathway cause)","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No","Anna","Anna",NA,NA
"3","Animalia","Branta canadensis","yes","Animalia","Branta canadensis","GISD","Acclimatization societies","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","No","No","Anna","Anna",NA,NA
"4","Animalia","Branta canadensis","yes","Animalia","Branta canadensis","GISD","Acclimatization societies","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","Yes","No","Anna","Anna",NA,NA
"5","Animalia","Castor canadensis","yes","Animalia","Castor canadensis","CABI","Acclimatization societies","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Emma",NA,NA
"6","Animalia","Cygnus olor","yes","Animalia","Cygnus olor","GISD","Acclimatation societies","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary","Yes","No",NA,"Emma",NA,NA
"7","Animalia","Cyprinus carpio","yes","Animalia","Cyprinus carpio","CABI","Acclimatization societies (pathway cause)","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary","No","No",NA,"Emma",NA,NA
"8","Animalia","Lepomis gibbosus","yes","Animalia","Lepomis gibbosus","CABI","Acclimatization societies (pathway cause)","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Direct","Secondary",NA,"No","Melina","Melina",NA,NA
"9","Animalia","Oryctolagus cuniculus","yes","Animalia","Oryctolagus cuniculus","GISD","Acclimatation societies","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary",NA,"No",NA,"Phil",NA,NA
"10","Animalia","Oryctolagus cuniculus","No","Animalia","Oryctolagus cuniculus","GISD","Acclimatation societies","Acclimatization societies","Aesthetic release","Release","Movement of COMMODITY","Direct","Primary",NA,"No",NA,"Anna",NA,NA
