Kingdom,Phylum,Class,Order,Family,Genus,Species,Species2,Environment_IAS,Kingdom_new,CoarseGroups,FineGroups,coarse_group,coarse_group_unspecified,fine_group,Sp_Focus,Species_new,Official_country,Origin,Source,Description,CBD_Mechanism_initial,CBD_Cat_inital,Description2,CBD_Mechanism2,CBD_Cat2,CBD_Mechanism_order,CBD_Cat_order,Description_order,pathway_count,CBD_subcategory,CBD_pathway,CBD_Mechanism,Direct_or_Indirect,Primary_or_Secondary,CountrySpecific,RemovePathways,Checkedby_00,Checkedby,Double_checkedby,Notes
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,Abutilon theophrasti,Abutilon theophrasti,terrestrial,Plantae,terrestrial plant,terrestrial forb,Plant,Plant,TerrestrialPlant,single,Abutilon theophrasti,Spain,India or China,CABI,Crop production,Movement of COMMODITY,ESCAPE,Crop production,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Crop production,3,Agriculture,Escape,Movement of COMMODITY,Direct,Secondary,Yes (USA),Yes,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,Abutilon theophrasti,Abutilon theophrasti,terrestrial,Plantae,terrestrial plant,terrestrial forb,Plant,Plant,TerrestrialPlant,single,Abutilon theophrasti,Spain,India or China,CABI,Seed contaminant,VECTOR,TRANSPORT_STOWAWAY,Seed contaminant,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Seed contaminant,3,Seed contaminant,Contaminant,Movement of COMMODITY,Direct,Primary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,Abutilon theophrasti,Abutilon theophrasti,terrestrial,Plantae,terrestrial plant,terrestrial forb,Plant,Plant,TerrestrialPlant,single,Abutilon theophrasti,Spain,India or China,CABI,Agricultural Practices,Movement of COMMODITY,TRANSPORT_CONTAMINANT,Agricultural Practices,Movement of COMMODITY,TRANSPORT_CONTAMINANT,1_Movement of COMMODITY,13_TRANSPORT_CONTAMINANT,13_Seed contaminant,3,Agriculture,Escape,Movement of COMMODITY,Indirect,Primary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia implexa,Acacia implexa,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia implexa,South Africa,NA,"Kaplan, H., Van Zyl, H.W.F., Le Roux, J.J., Richardson, D.M. and Wilson, J.R.U., 2012. Distribution and management of Acacia implexa (Benth.) in South Africa: A suitable target for eradication?. South African Journal of Botany, 83, pp.23-35.",Forestry,Movement of COMMODITY,ESCAPE,Forestry,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Forestry,2,Forestry,Escape,Movement of COMMODITY,Direct,Primary,Yes,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia implexa,Acacia implexa,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia implexa,South Africa,NA,"Kaplan, H., Van Zyl, H.W.F., Le Roux, J.J., Richardson, D.M. and Wilson, J.R.U., 2012. Distribution and management of Acacia implexa (Benth.) in South Africa: A suitable target for eradication?. South African Journal of Botany, 83, pp.23-35.",Horticulture,Movement of COMMODITY,ESCAPE,Horticulture,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Horticulture,2,Horticulture,Escape,Movement of COMMODITY,Direct,Primary,Yes,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia implexa,Acacia implexa,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia implexa,South Africa,NA,"Kaplan, H., Van Zyl, H.W.F., Le Roux, J.J., Richardson, D.M. and Wilson, J.R.U., 2012. Distribution and management of Acacia implexa (Benth.) in South Africa: A suitable target for eradication?. South African Journal of Botany, 83, pp.23-35.",cultural purposes,Movement of COMMODITY,ESCAPE,Horticulture,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Horticulture,2,Ornamental,Escape,Movement of COMMODITY,Direct,Primary,Yes,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia longifolia,Acacia longifolia,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia longifolia,South Africa,,CABI,Horticulture,Movement of COMMODITY,ESCAPE,Horticulture,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Horticulture,5,Horticulture,Escape,Movement of COMMODITY,Direct,Primary,Yes,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia longifolia,Acacia longifolia,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia longifolia,South Africa,,CABI,Seed trade,Movement of COMMODITY,ESCAPE,Seed trade,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Seed trade,5,Horticulture,Escape,Movement of COMMODITY,Direct,Primary,Yes,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia longifolia,Acacia longifolia,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia longifolia,South Africa,,CABI,Internet sales,Movement of COMMODITY,ESCAPE,Internet sales,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Internet sales,5,Ornamental,Escape,Movement of COMMODITY,Direct,Secondary,No,No,Anna,Anna,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia longifolia,Acacia longifolia,terrestrial,Plantae,terrestrial plant,terrestrial tree,Plant,Plant,TerrestrialPlant,single,Acacia longifolia,South Africa,,CABI,Ornamental purposes,Movement of COMMODITY,ESCAPE,Ornamental purposes,Movement of COMMODITY,ESCAPE,1_Movement of COMMODITY,12_ESCAPE,12_Ornamental purposes,5,Ornamental,Escape,Movement of COMMODITY,Direct,Secondary,Yes,No,Anna,Anna,,
